"locality","lon","lat","emergence","host","host.gen","radius","ENM_avz_sd","ENM_avm_sd","ENM_avs_sd"
"FarakoBa",-4.305229,11.164901,0.566080978,"sorghum","2219B",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.550038197,"millet","B-282",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.48433919,"millet","Ex-Bomu",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.453017571,"millet","J-104",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.555385791,"millet","D2-Comp",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.400305577,"millet","CIVT-II",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.147440794,"maize","D-771",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.067990833,"maize","Diara",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.289533995,"maize","Syn-B23",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.168831169,"maize","L-4",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"Galadima",13.154291,11.822651,0.515695067,"maize","8322-13",50000,0.0956757525007696,0.171129191171822,0.0786980028397503
"Galadima",13.154291,11.822651,0.97309417,"maize","8425-8",50000,0.0956757525007696,0.171129191171822,0.0786980028397503
"Galadima",13.154291,11.822651,0.874439462,"maize","8338-1",50000,0.0956757525007696,0.171129191171822,0.0786980028397503
"Galadima",13.154291,11.822651,1,"maize","8321-21",50000,0.0956757525007696,0.171129191171822,0.0786980028397503
"Galadima",13.154291,11.822651,0.282511211,"sorghum","KSY-15",50000,0.0956757525007696,0.171129191171822,0.0786980028397503
"Galadima",13.154291,11.822651,0.547085202,"sorghum","SRN-4841",50000,0.0956757525007696,0.171129191171822,0.0786980028397503
"Galadima",13.154291,11.822651,0.434977578,"millet","SE302",50000,0.0956757525007696,0.171129191171822,0.0786980028397503
"Galadima",13.154291,11.822651,0.865470852,"millet","SE2124",50000,0.0956757525007696,0.171129191171822,0.0786980028397503
"Gombe",11.170659,10.282907,0.806896552,"maize","8322-13",50000,0.212529000237374,0.107604162938889,0.0911863757498706
"Gombe",11.170659,10.282907,1,"maize","8425-8",50000,0.212529000237374,0.107604162938889,0.0911863757498706
"Gombe",11.170659,10.282907,0.862068966,"maize","8338-1",50000,0.212529000237374,0.107604162938889,0.0911863757498706
"Gombe",11.170659,10.282907,0.779310345,"maize","8321-21",50000,0.212529000237374,0.107604162938889,0.0911863757498706
