locality,lon,lat,emergence,host,host.gen,radius,ENM_avz,ENM_avm,ENM_avs
FarakoBa,-4.305229,11.164901,0.48433919,millet,Ex-Bomu,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.453017571,millet,J-104,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.555385791,millet,D2-Comp,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.400305577,millet,CIVT-II,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.147440794,maize,D-771,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.067990833,maize,Diara,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.289533995,maize,Syn-B23,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.168831169,maize,L-4,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
Galadima,13.154291,11.822651,0.515695067,maize,8322-13,10000,0.403012144798538,0.049858577007232,0.178118579431043
Galadima,13.154291,11.822651,0.97309417,maize,8425-8,10000,0.403012144798538,0.049858577007232,0.178118579431043
Galadima,13.154291,11.822651,0.874439462,maize,8338-1,10000,0.403012144798538,0.049858577007232,0.178118579431043
Galadima,13.154291,11.822651,1,maize,8321-21,10000,0.403012144798538,0.049858577007232,0.178118579431043
Galadima,13.154291,11.822651,0.282511211,sorghum,KSY-15,10000,0.403012144798538,0.049858577007232,0.178118579431043
Galadima,13.154291,11.822651,0.547085202,sorghum,SRN-4841,10000,0.403012144798538,0.049858577007232,0.178118579431043
Galadima,13.154291,11.822651,0.434977578,millet,SE302,10000,0.403012144798538,0.049858577007232,0.178118579431043
Galadima,13.154291,11.822651,0.865470852,millet,SE2124,10000,0.403012144798538,0.049858577007232,0.178118579431043
Gombe,11.170659,10.282907,0.806896552,maize,8322-13,10000,0.0847709424020163,0.00185676847324997,-0.20820831250949
Gombe,11.170659,10.282907,1,maize,8425-8,10000,0.0847709424020163,0.00185676847324997,-0.20820831250949
Gombe,11.170659,10.282907,0.862068966,maize,8338-1,10000,0.0847709424020163,0.00185676847324997,-0.20820831250949
Gombe,11.170659,10.282907,0.779310345,maize,8321-21,10000,0.0847709424020163,0.00185676847324997,-0.20820831250949
Gombe,11.170659,10.282907,0.517241379,sorghum,KSY-15,10000,0.0847709424020163,0.00185676847324997,-0.20820831250949
Gombe,11.170659,10.282907,0.468965517,sorghum,SRN-4841,10000,0.0847709424020163,0.00185676847324997,-0.20820831250949
Gombe,11.170659,10.282907,0.013793103,millet,SE302,10000,0.0847709424020163,0.00185676847324997,-0.20820831250949
Gombe,11.170659,10.282907,0.068965517,millet,SE2124,10000,0.0847709424020163,0.00185676847324997,-0.20820831250949
Gumi,5.11558,12.130529,1,maize,8322-13,10000,0.415061709220691,0.0117475433695701,-0.0250206092993418
Gumi,5.11558,12.130529,0.794871795,maize,8425-8,10000,0.415061709220691,0.0117475433695701,-0.0250206092993418
Gumi,5.11558,12.130529,0.605128205,maize,8338-1,10000,0.415061709220691,0.0117475433695701,-0.0250206092993418
Gumi,5.11558,12.130529,0.553846154,maize,8321-21,10000,0.415061709220691,0.0117475433695701,-0.0250206092993418
Gumi,5.11558,12.130529,0.907692308,sorghum,KSY-15,10000,0.415061709220691,0.0117475433695701,-0.0250206092993418
Gumi,5.11558,12.130529,0.220512821,sorghum,SRN-4841,10000,0.415061709220691,0.0117475433695701,-0.0250206092993418
Gumi,5.11558,12.130529,0.01025641,millet,SE302,10000,0.415061709220691,0.0117475433695701,-0.0250206092993418
Gumi,5.11558,12.130529,0.025641026,millet,SE2124,10000,0.415061709220691,0.0117475433695701,-0.0250206092993418
Gwoza,13.695827,11.077483,0.807142857,maize,8322-13,10000,0.0604870552602022,0.152126164661477,-0.0527955007374935
Gwoza,13.695827,11.077483,1,maize,8425-8,10000,0.0604870552602022,0.152126164661477,-0.0527955007374935
Gwoza,13.695827,11.077483,0.907142857,maize,8338-1,10000,0.0604870552602022,0.152126164661477,-0.0527955007374935
Gwoza,13.695827,11.077483,0.928571429,maize,8321-21,10000,0.0604870552602022,0.152126164661477,-0.0527955007374935
Gwoza,13.695827,11.077483,0.95,sorghum,KSY-15,10000,0.0604870552602022,0.152126164661477,-0.0527955007374935
