"","locality","emergence","host","host.gen","lon","lat","ENM_a_s50km","ENM_a_m50km","ENM_a_z50km"
"94","Gombe",0.806896552,"maize","8322-13",11.170659,10.282907,-0.178724269,0.077491884,0.013902713
"95","Gombe",1,"maize","8425-8",11.170659,10.282907,-0.178724269,0.077491884,0.013902713
"96","Gombe",0.862068966,"maize","8338-1",11.170659,10.282907,-0.178724269,0.077491884,0.013902713
"97","Gombe",0.779310345,"maize","8321-21",11.170659,10.282907,-0.178724269,0.077491884,0.013902713
"98","Gombe",0.517241379,"sorghum","KSY-15",11.170659,10.282907,-0.178724269,0.077491884,0.013902713
"99","Gombe",0.468965517,"sorghum","SRN-4841",11.170659,10.282907,-0.178724269,0.077491884,0.013902713
"100","Gombe",0.013793103,"millet","SE302",11.170659,10.282907,-0.178724269,0.077491884,0.013902713
"101","Gombe",0.068965517,"millet","SE2124",11.170659,10.282907,-0.178724269,0.077491884,0.013902713
"102","Gumi",1,"maize","8322-13",5.11558,12.130529,-0.035031933,0.024861716,0.364414464
"103","Gumi",0.794871795,"maize","8425-8",5.11558,12.130529,-0.035031933,0.024861716,0.364414464
"104","Gumi",0.605128205,"maize","8338-1",5.11558,12.130529,-0.035031933,0.024861716,0.364414464
"105","Gumi",0.553846154,"maize","8321-21",5.11558,12.130529,-0.035031933,0.024861716,0.364414464
"106","Gumi",0.907692308,"sorghum","KSY-15",5.11558,12.130529,-0.035031933,0.024861716,0.364414464
"107","Gumi",0.220512821,"sorghum","SRN-4841",5.11558,12.130529,-0.035031933,0.024861716,0.364414464
"108","Gumi",0.01025641,"millet","SE302",5.11558,12.130529,-0.035031933,0.024861716,0.364414464
"109","Gumi",0.025641026,"millet","SE2124",5.11558,12.130529,-0.035031933,0.024861716,0.364414464
"110","Gwoza",0.807142857,"maize","8322-13",13.695827,11.077483,-0.011497579,0.176732043,0.168177913
"111","Gwoza",1,"maize","8425-8",13.695827,11.077483,-0.011497579,0.176732043,0.168177913
"112","Gwoza",0.907142857,"maize","8338-1",13.695827,11.077483,-0.011497579,0.176732043,0.168177913
"113","Gwoza",0.928571429,"maize","8321-21",13.695827,11.077483,-0.011497579,0.176732043,0.168177913
"114","Gwoza",0.95,"sorghum","KSY-15",13.695827,11.077483,-0.011497579,0.176732043,0.168177913
"115","Gwoza",0.514285714,"sorghum","SRN-4841",13.695827,11.077483,-0.011497579,0.176732043,0.168177913
"116","Gwoza",0.228571429,"millet","SE302",13.695827,11.077483,-0.011497579,0.176732043,0.168177913
"117","Gwoza",0,"millet","SE2124",13.695827,11.077483,-0.011497579,0.176732043,0.168177913
"118","Jibiya",0.368,"maize","8322-13",7.061331,12.867239,-0.137383086,-0.251000458,0.109619245
"119","Jibiya",0.488,"maize","8425-8",7.061331,12.867239,-0.137383086,-0.251000458,0.109619245
"120","Jibiya",1,"maize","8338-1",7.061331,12.867239,-0.137383086,-0.251000458,0.109619245
"121","Jibiya",0.448,"maize","8321-21",7.061331,12.867239,-0.137383086,-0.251000458,0.109619245
